NACA 4 digit Additional DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   7.90304   3.02499   9.80168   0.87780   0.11530   0.00802  -0.16900  -0.00030
   0.97565   7.23514  19.14966   0.16450   0.11460   0.00645  -0.04230   0.00040
   7.79011   4.07737   5.61624   0.91900   0.10930   0.00613  -0.20630   0.00000
   5.01921   8.94071   2.39094   0.81190   0.11290   0.01486  -0.24890  -0.00180
   5.98017   7.96941   9.46322   1.13600  -0.09100   0.00464  -0.31180   0.04680
   7.80210   4.09830  10.58867   0.94600   0.11390   0.00679  -0.20530  -0.00020
   5.02718   6.85565  13.72618   0.86100   0.03330   0.00446  -0.22080   0.01810
   0.00000   4.59348   8.85225   0.00000   0.11240   0.00446  -0.00000   0.00020
   4.91438   4.95019  19.07871   0.65490   0.10950   0.00660  -0.14460   0.00120
   8.00569   4.95523  19.99990   0.98400   0.10310   0.00780  -0.21720   0.00200
   2.05125   4.87420   7.92834   0.27370   0.11170   0.00441  -0.06450   0.00010
   8.74646   3.05524   9.54245   0.96660   0.11480   0.00828  -0.18730  -0.00020
   0.00000   4.80020  12.21588   0.00000   0.11430   0.00518  -0.00000   0.00010
   2.03585   7.87657  19.22478   0.35800   0.11130   0.00659  -0.09480   0.00110
   4.04972   1.01154  16.70907   0.41530   0.11490   0.01013  -0.04180   0.00080
   0.96908   6.89965  14.16824   0.16390   0.11440   0.00554  -0.04210   0.00020
   4.00171   2.08631  15.04063   0.44060   0.11170   0.00817  -0.06640   0.00060
   8.95676   3.96214  18.10904   1.01840   0.11010   0.00880  -0.20330   0.00060
   6.01634   2.92906  13.90879   0.68350   0.11640   0.00798  -0.12370  -0.00020
   9.01758   4.96398   6.90137   1.15930   0.10910   0.00541  -0.27780   0.00010
   4.17733   3.82709  16.75001   0.51670   0.11620   0.00688  -0.10300  -0.00010
   5.99410   5.95301  14.92588   0.90020   0.10090   0.00521  -0.21970   0.00300
   5.98953   4.02076  17.26660   0.73800   0.11210   0.00725  -0.14990   0.00070
   7.82257   1.95789  15.07110   0.82280   0.11260   0.00996  -0.12020   0.00100
   1.02432   5.95981   3.04546   0.14140   0.11030   0.00743  -0.03710  -0.00050
   0.00000   4.65814  11.78626   0.00000   0.11400   0.00508  -0.00000   0.00010
   6.02898   2.00266   9.17534   0.63310   0.11570   0.00839  -0.10400   0.00010
   6.03893   5.96246  17.58750   0.87450   0.07500   0.00575  -0.21130   0.00840
   4.95902   4.02398  13.22065   0.61730   0.11590   0.00642  -0.13010  -0.00020
   1.98565   3.03403  13.05075   0.23170   0.11450   0.00567  -0.04340   0.00010
   4.82832   7.09844   8.76438   0.85330   0.05900   0.00375  -0.22610   0.01240
   6.01483   6.89128  15.65262   1.00140  -0.00530   0.00482  -0.25620   0.02610
   2.08802   8.81847   6.78794   0.51070   0.10990   0.00583  -0.14280   0.00040
   7.96551   4.04055   8.95971   0.95380   0.11330   0.00667  -0.20840  -0.00030
   2.96093   2.98762   2.74498   0.31430   0.10990   0.00762  -0.06440  -0.00060
   9.04261   5.03506  19.13401   1.11260   0.10060   0.00810  -0.24940   0.00230
   1.86112   7.56314   7.42008   0.35190   0.10240   0.00430  -0.09520   0.00190
   0.00000   5.42195   7.02078   0.00010   0.10890   0.00419  -0.00000   0.00040
   6.03981   2.93763  16.52087   0.68730   0.11550   0.00832  -0.12010   0.00010
   6.00613   7.99532   9.39653   1.14500  -0.09600   0.00471  -0.31470   0.04800
   2.99489   8.97679  12.78269   0.60510   0.12750   0.00721  -0.17010  -0.00290
   8.34920   7.97653   5.90953   1.28120  -0.12010   0.01239  -0.37030   0.05200
   8.99840   5.10206   7.85676   1.17920   0.11400   0.00538  -0.28390  -0.00080
   4.08985   3.93596  13.59926   0.50930   0.11600   0.00631  -0.10590  -0.00030
   8.94964   5.08302  13.74593   1.17140   0.09890   0.00637  -0.27180   0.00290
   1.82342   1.73880  19.10390   0.19760   0.11340   0.00661  -0.02430   0.00060
   4.08380   4.03174   7.16286   0.49570   0.11330   0.00536  -0.10940  -0.00050
   0.00000   4.21317  10.03598   0.00000   0.11330   0.00472  -0.00000   0.00010
   3.01077   4.91587  10.17719   0.40640   0.11400   0.00494  -0.09480   0.00000
   7.96802   1.98743  11.84116   0.83650   0.11540   0.00958  -0.13100   0.00040
   0.00000   5.18985   3.06195  -0.00000   0.11040   0.00739  -0.00000  -0.00050
   3.93024   4.06649   7.89149   0.48140   0.11370   0.00537  -0.10610  -0.00050
