NACA 4 digit Error DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   0.00045   0.00404   0.04645   0.00040   0.00000   0.00001   0.00010   0.00000
   0.01061   0.00187   0.16573   0.00040   0.00030   0.00005   0.00030   0.00000
   0.00334   0.00811   0.04821   0.00020   0.00010   0.00002   0.00030   0.00000
   0.00733   0.08449   0.08953   0.00690   0.00650   0.00054   0.00050   0.00140
   0.00132   0.00441   0.05477   0.00230   0.00060   0.00003   0.00040   0.00010
   0.00693   0.01900   0.03705   0.00570   0.00600   0.00016   0.00190   0.00170
   0.00541   0.01245   0.02289   0.00040   0.00030   0.00001   0.00000   0.00000
   0.00709   0.01916   0.07340   0.00060   0.00000   0.00001   0.00030   0.00010
   0.01651   0.00149   0.08940   0.00550   0.00330   0.00025   0.00120   0.00070
   0.00430   0.01503   0.00479   0.00560   0.00600   0.00002   0.00150   0.00120
   0.01882   0.00877   0.12108   0.00160   0.00030   0.00001   0.00040   0.00000
   0.00348   0.04151   0.03188   0.00030   0.00010   0.00000   0.00000   0.00000
   0.03978   0.02798   0.39378   0.00940   0.00020   0.00011   0.00230   0.00010
   0.00505   0.00713   0.06529   0.00010   0.00030   0.00000   0.00010   0.00010
   0.01417   0.00145   0.07762   0.00150   0.00000   0.00001   0.00040   0.00000
   0.00000   0.02996   0.02178   0.00000   0.00020   0.00001   0.00000   0.00000
   0.00023   0.00058   0.10698   0.00090   0.00050   0.00002   0.00010   0.00020
   0.01097   0.01116   0.01451   0.00050   0.00520   0.00002   0.00010   0.00130
   0.00166   0.00004   0.03168   0.00000   0.00020   0.00001   0.00000   0.00000
   0.00679   0.01250   0.04003   0.00140   0.00000   0.00002   0.00030   0.00000
   0.01476   0.02150   0.03930   0.00280   0.00160   0.00000   0.00120   0.00030
   0.00058   0.02153   0.04169   0.00210   0.00010   0.00001   0.00090   0.00000
   0.03983   0.04963   0.27178   0.00590   0.08080   0.00022   0.00230   0.01920
   0.01839   0.00295   0.01891   0.00190   0.00020   0.00000   0.00030   0.00000
   0.00149   0.01304   0.05069   0.00050   0.00020   0.00000   0.00010   0.00010
   0.00379   0.00848   0.01589   0.00040   0.00010   0.00000   0.00010   0.00010
   0.00790   0.02006   0.16143   0.00260   0.00040   0.00000   0.00070   0.00010
   0.00484   0.01511   0.02864   0.00290   0.00140   0.00023   0.00080   0.00050
   0.00846   0.00129   0.09613   0.00210   0.00120   0.00010   0.00030   0.00030
   0.00220   0.02510   0.06248   0.00050   0.00020   0.00000   0.00010   0.00010
   0.00000   0.02295   0.01263   0.00000   0.00010   0.00000   0.00000   0.00000
   0.00000   0.01976   0.02806   0.00010   0.00020   0.00001   0.00000   0.00000
   0.00034   0.01119   0.01983   0.00100   0.00000   0.00001   0.00040   0.00010
   0.01841   0.00356   0.01764   0.00240   0.00010   0.00001   0.00060   0.00010
   0.00688   0.01449   0.01715   0.00120   0.00120   0.00002   0.00040   0.00020
   0.01401   0.01560   0.06165   0.00050   0.00030   0.00004   0.00040   0.00010
   0.01101   0.01266   0.02124   0.00020   0.00030   0.00003   0.00020   0.00000
   0.00463   0.02367   0.04136   0.00070   0.00030   0.00003   0.00030   0.00000
   0.01025   0.01907   0.06598   0.00010   0.00020   0.00003   0.00040   0.00000
   0.00507   0.02396   0.02617   0.00040   0.00100   0.00002   0.00010   0.00030
   0.01055   0.00041   0.02072   0.00280   0.00390   0.00022   0.00050   0.00050
   0.03884   0.00222   0.07010   0.00860   0.00810   0.00003   0.00220   0.00170
   0.00000   0.01291   0.00493   0.00000   0.00050   0.00001   0.00000   0.00010
   0.01158   0.03238   0.14003   0.00080   0.00000   0.00003   0.00050   0.00000
   0.00232   0.01165   0.00319   0.00080   0.00040   0.00003   0.00030   0.00010
   0.01996   0.03410   0.28406   0.01300   0.00040   0.00099   0.00230   0.00000
   0.02920   0.00261   0.08726   0.00000   0.00220   0.00020   0.00000   0.00020
   0.01098   0.01506   0.02707   0.00040   0.00010   0.00000   0.00010   0.00000
   0.02596   0.00399   0.03760   0.00150   0.00000   0.00001   0.00030   0.00010
   0.03785   0.00335   0.09916   0.00090   0.01290   0.00010   0.00040   0.00240
   0.00872   0.02914   0.01430   0.00030   0.00000   0.00001   0.00020   0.00000
   0.00363   0.01256   0.14742   0.00030   0.00020   0.00002   0.00000   0.00010
   0.00287   0.00448   0.09727   0.00030   0.00050   0.00001   0.00010   0.00000
   0.01258   0.01521   0.20299   0.00310   0.00540   0.00004   0.00070   0.00120
   0.00092   0.00855   0.01698   0.00000   0.00210   0.00001   0.00000   0.00060
   0.01020   0.00577   0.03727   0.00060   0.00060   0.00008   0.00000   0.00010
   0.02194   0.00625   0.17185   0.00110   0.00090   0.00003   0.00030   0.00010
   0.00696   0.00219   0.01965   0.00040   0.00020   0.00000   0.00010   0.00000
   0.00180   0.02228   0.03432   0.00040   0.00020   0.00001   0.00010   0.00000
   0.00126   0.01696   0.06736   0.00090   0.00230   0.00001   0.00030   0.00060
   0.04786   0.01065   0.00869   0.00420   0.00070   0.00004   0.00050   0.00020
   0.00000   0.06887   0.08001   0.00330   0.00760   0.00014   0.00090   0.00190
   0.02322   0.01446   0.08180   0.00180   0.00010   0.00011   0.00000   0.00010
   0.00523   0.00107   0.08083   0.00110   0.00050   0.00004   0.00020   0.00000
   0.00000   0.01537   0.03364   0.00010   0.00000   0.00001   0.00000   0.00000
   0.00604   0.00829   0.13745   0.00080   0.00020   0.00004   0.00020   0.00010
   0.00832   0.01259   0.01654   0.00210   0.00040   0.00002   0.00040   0.00010
   0.00178   0.04290   0.04291   0.00080   0.00030   0.00005   0.00040   0.00020
   0.01294   0.01600   0.10118   0.00040   0.00020   0.00001   0.00010   0.00010
   0.00924   0.01729   0.05651   0.00060   0.00020   0.00000   0.00010   0.00010
   0.01718   0.00528   0.07557   0.00030   0.00010   0.00002   0.00000   0.00000
   0.00405   0.01728   0.17830   0.00040   0.00000   0.00005   0.00050   0.00000
   0.00000   0.03153   0.06383   0.00280   0.00030   0.00002   0.00090   0.00010
   0.00000   0.01206   0.06919   0.00040   0.00050   0.00000   0.00010   0.00020
   0.00000   0.00347   0.02802   0.00050   0.00030   0.00000   0.00010   0.00000
   0.00000   0.02752   0.00211   0.00030   0.00010   0.00001   0.00000   0.00010
   0.00603   0.03497   0.31193   0.00230   0.00080   0.00029   0.00040   0.00020
   0.00745   0.00264   0.02304   0.00060   0.00010   0.00001   0.00010   0.00000
   0.02564   0.03091   0.04157   0.00140   0.00090   0.00011   0.00040   0.00010
   0.00945   0.02913   0.01605   0.00040   0.00010   0.00000   0.00010   0.00000
   0.00377   0.01060   0.01287   0.00020   0.00020   0.00000   0.00000   0.00000
   0.00000   0.00036   0.05996   0.00020   0.00030   0.00003   0.00000   0.00010
   0.03155   0.02979   0.23155   0.00070   0.00010   0.00001   0.00010   0.00010
   0.01341   0.01351   0.03123   0.00220   0.00480   0.00000   0.00010   0.00100
   0.00051   0.00764   0.01179   0.00080   0.00080   0.00001   0.00020   0.00010
   0.00880   0.02636   0.00803   0.00130   0.00070   0.00002   0.00060   0.00010
   0.01444   0.00969   0.12561   0.00020   0.00000   0.00002   0.00010   0.00000
   0.01221   0.01031   0.00934   0.00090   0.00070   0.00002   0.00040   0.00020
   0.01785   0.01492   0.00437   0.00090   0.00070   0.00003   0.00010   0.00020
   0.02415   0.00110   0.01187   0.00260   0.00010   0.00001   0.00060   0.00000
   0.02028   0.01925   0.01628   0.00230   0.00020   0.00001   0.00050   0.00000
   0.01039   0.00232   0.00153   0.00160   0.00120   0.00002   0.00040   0.00020
   0.01483   0.03440   0.12567   0.00250   0.00110   0.00005   0.00020   0.00030
   0.01583   0.00967   0.03836   0.00090   0.00040   0.00002   0.00030   0.00000
   0.00771   0.07174   0.19229   0.00250   0.00270   0.00052   0.00030   0.00070
   0.04569   0.07519   0.31567   0.00420   0.03540   0.00019   0.00150   0.00820
